stock,timestamp,open,high,low,close,volume
VEDL,2015-12-31,91.8500,96.4000,81.2500,90.4000,205839248
VEDL,2015-11-30,100.3000,100.9000,85.8000,90.1500,184361958
VEDL,2015-10-30,86.1000,119.1000,82.6500,99.9500,397019192
VEDL,2015-09-30,96.5000,102.5000,83.3500,84.7000,181426979
VEDL,2015-08-31,130.0000,131.4000,76.7000,98.6500,206761592
VEDL,2015-07-31,174.1000,177.5000,126.3000,130.2500,142597646
VEDL,2015-06-30,198.0000,201.6500,169.5000,174.1500,99903413
VEDL,2015-05-29,212.0000,233.4000,190.5000,196.4500,114163252
VEDL,2015-04-30,190.8000,217.0000,187.2000,209.8500,86791674
VEDL,2015-03-31,218.8500,225.0000,183.7500,189.5000,86945791
VEDL,2015-02-28,199.5000,224.9000,0.0000,0.0000,77702465
VEDL,2015-01-30,213.7000,225.3000,185.8500,201.9500,108654845
VEDL,2014-12-31,229.0000,245.9500,190.1000,214.5000,103596589
VEDL,2014-11-28,256.8000,263.9000,229.8500,231.3500,71831132
VEDL,2014-10-31,273.3000,276.4000,218.9000,255.9500,102340773
VEDL,2014-09-30,278.9000,291.3500,266.1500,272.5000,111399766
VEDL,2014-08-28,287.4000,305.5000,267.0000,277.1500,96564055
VEDL,2014-07-31,292.5500,316.5000,277.5000,290.2500,152929045
VEDL,2014-06-30,280.9500,318.3000,275.6000,292.3500,165038282
VEDL,2014-05-30,187.0000,285.0000,178.0000,280.4500,264562697
VEDL,2014-04-30,189.0500,207.0000,182.2000,185.3500,140074422
VEDL,2014-03-31,176.6500,189.3500,0.0000,188.5500,107893393
VEDL,2014-02-28,190.0000,193.8500,173.6500,177.6500,86865543
VEDL,2014-01-31,202.5500,213.3000,182.5000,188.4000,113142750
VEDL,2013-12-31,184.9000,208.8500,179.2000,201.9500,161836310
VEDL,2013-11-29,204.0000,209.4000,172.3500,183.1000,121729964
VEDL,2013-10-31,181.0000,204.9000,173.2000,202.0000,166244142
VEDL,2013-09-30,187.0000,196.0000,168.2000,180.7500,244535340
VEDL,2013-08-30,129.0000,199.5000,121.2000,188.7500,138990590
VEDL,2013-07-31,144.7000,157.9000,119.3000,127.8500,37300836
VEDL,2013-06-28,162.9500,163.8500,131.7500,142.8000,28819331
VEDL,2013-05-31,159.1000,169.0000,154.7000,163.9000,27898682
VEDL,2013-04-30,155.9500,162.9000,140.3000,158.7500,45226768
VEDL,2013-03-28,154.5000,170.2500,148.2000,155.5000,28264273
VEDL,2013-02-28,186.8500,189.8000,153.2500,154.8500,25877440
VEDL,2013-01-31,197.0000,205.4500,173.7000,186.5500,36749759
VEDL,2012-12-31,182.5000,201.6000,178.7500,195.4500,35583245
VEDL,2012-11-30,170.5500,183.5000,0.0000,182.2000,24440877
VEDL,2012-10-31,173.2500,178.0000,165.1000,171.1500,33742227
VEDL,2012-09-28,173.5000,187.7000,0.0000,171.2000,56164017
VEDL,2012-08-31,189.5500,195.7000,167.7500,171.4500,41751879
VEDL,2012-07-31,193.9500,207.9500,177.0000,190.2000,52457059
VEDL,2012-06-29,184.0000,194.0000,174.5500,191.6500,40374754
VEDL,2012-05-31,189.5000,199.0000,172.2000,187.1500,57622632
VEDL,2012-04-30,195.4000,199.5000,176.7500,188.4000,47657245
VEDL,2012-03-30,212.3000,216.0000,0.0000,194.7000,63491724
VEDL,2012-02-29,217.8000,270.0000,202.7500,214.4000,126583525
VEDL,2012-01-31,162.0500,219.0000,0.0000,217.9500,81839424
VEDL,2011-12-30,189.4000,196.3500,148.3000,163.4000,51307640
VEDL,2011-11-30,204.3000,216.8000,165.3500,183.5000,50523462
VEDL,2011-10-31,196.0000,232.7000,190.3500,207.3500,54560557
VEDL,2011-09-30,230.5000,239.8000,189.3500,200.5500,65643196
VEDL,2011-08-30,276.4000,280.0000,195.1000,234.0500,69896975
VEDL,2011-07-29,285.0000,300.4000,256.8000,275.0500,51388473
VEDL,2011-06-30,289.9000,295.4500,261.1000,282.0500,25408225
VEDL,2011-05-31,314.5500,317.0000,268.3000,289.9000,43891949
VEDL,2011-04-29,292.7500,330.8000,292.7500,313.9000,60247114
VEDL,2011-03-31,263.1000,294.9000,254.7500,291.3500,66322515
VEDL,2011-02-28,329.6000,333.4000,258.0000,261.2000,49995273
VEDL,2011-01-31,333.4000,346.5000,308.5500,326.1000,62353372
VEDL,2010-12-31,303.0000,330.7000,287.0000,328.5500,72963503
VEDL,2010-11-30,326.0000,348.7000,285.0000,307.7000,54199312
VEDL,2010-10-29,330.0000,383.6500,317.2000,321.6000,101475109
VEDL,2010-09-30,320.0000,343.4000,308.2000,328.2000,80985331
VEDL,2010-08-31,364.0000,384.0000,311.5000,317.8000,105900955
VEDL,2010-07-30,350.0000,376.0000,337.2000,361.2500,110773791
VEDL,2010-06-30,382.0000,389.7000,335.3000,352.6500,175499291
VEDL,2010-05-31,426.9000,426.9000,303.9000,381.9000,207855641
VEDL,2010-04-30,471.0000,495.0000,418.1000,428.9500,98226020
VEDL,2010-03-31,405.0000,473.9500,400.0000,470.4500,105741216
